timestamp,BTC-USDT,ADA-USDT,ratio,zscore,profit_1,profit_2
1681448092.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4737373651800870922090019268,0,0.0009053870529651425984608420100
1681448093.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4738312015765587647031476662,0,0.0009053870529651425984608420100
1681448094.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4739384795959709260211123927,0,0.0009053870529651425984608420100
1681448095.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4740480200562637443009775070,0,0.0009053870529651425984608420100
1681448096.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4741598430956374800390985823,0,0.0009053870529651425984608420100
1681448097.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4742670547763241466652127355,0,0.0009053870529651425984608420100
1681448098.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4743760060177381453062188957,0,0.0009053870529651425984608420100
1681448099.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4744870236271002315136245711,0,0.0009053870529651425984608420100
1681448100.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4746001248549483577830797176,0,0.0009053870529651425984608420100
1681448101.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4726379447758666082678329791,0,0.0009053870529651425984608420100
1681448102.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4705732958589076726225367106,0,0.0009053870529651425984608420100
1681448103.0,30683.4000000000,0.4414000000,69513.81966470321703670140462,-0.4684250348338274301106035414,0,0.0009053870529651425984608420100
1681448104.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4662306388527621461296180894,0,0.0009053870529651425984608420100
1681448105.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4640317909673711047827879647,0,0.0009053870529651425984608420100
1681448106.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4618284543292653711905725780,0,0.0009053870529651425984608420100
1681448107.0,30683.4100000000,0.4414000000,69513.84231989125509741730856,-0.4596190849386669682090054220,0,0.0009053870529651425984608420100
1681448108.0,30683.4100000000,0.4415000000,69498.09739524348810872027180,-0.4579980949228264403908251672,0,0.0006790402897238569488456315075
1681448109.0,30683.4100000000,0.4415000000,69498.09739524348810872027180,-0.4563139938854077665919308130,0,0.0006790402897238569488456315075
1681448110.0,30683.4100000000,0.4415000000,69498.09739524348810872027180,-0.4546270271245167979589588693,0,0.0006790402897238569488456315075
1681448111.0,30683.4100000000,0.4415000000,69498.09739524348810872027180,-0.4529371694795494795382838259,0,0.0006790402897238569488456315075
1681448112.0,30683.5400000000,0.4415000000,69498.39184597961494903737259,-0.4512270845397761807139680959,0,0.0006790402897238569488456315075
1681448113.0,30683.5400000000,0.4415000000,69498.39184597961494903737259,-0.4495140033097235026385794511,0,0.0006790402897238569488456315075
1681448114.0,30683.5400000000,0.4415000000,69498.39184597961494903737259,-0.4477978993731835924733973199,0,0.0006790402897238569488456315075
1681448115.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4441979178938732886282459771,0,0.001131733816206428248076052512
1681448116.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4405887894938515226342366014,0,0.001131733816206428248076052512
1681448117.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4369704383469771746040504415,0,0.001131733816206428248076052512
1681448118.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4333427877621323198062795077,0,0.001131733816206428248076052512
1681448119.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4297057601700186555429215875,0,0.001131733816206428248076052512
1681448120.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4271266234936158205912879609,0,0.001131733816206428248076052512
1681448121.0,30683.5400000000,0.4413000000,69529.88896442329481078631317,-0.4245412449761729373803586524,0,0.001131733816206428248076052512
1681448122.0,30683.5400000000,0.4415000000,69498.39184597961494903737259,-0.4233671809493277727073060607,0,0.0006790402897238569488456315075
1681448123.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4223161972882063443462219803,0,0.0009053870529651425984608420100
1681448124.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4212637871687231431875966528,0,0.0009053870529651425984608420100
1681448125.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4202099387748135043413282393,0,0.0009053870529651425984608420100
1681448126.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4191546401710688233042430759,0,0.0009053870529651425984608420100
1681448127.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4180978793010003637650962747,0,0.0009053870529651425984608420100
1681448128.0,30683.5400000000,0.4414000000,69514.13683733574988672405981,-0.4170396439852712015680060585,0,0.0009053870529651425984608420100
1681448129.0,30683.7800000000,0.4414000000,69514.68056184866334390575442,-0.4159466895298589824942738426,0,0.0009053870529651425984608420100
1681448130.0,30683.7800000000,0.4414000000,69514.68056184866334390575442,-0.4148521253154659850342639030,0,0.0009053870529651425984608420100
1681448131.0,30683.7800000000,0.4414000000,69514.68056184866334390575442,-0.4137606266150967010336327354,0,0.0009053870529651425984608420100
1681448132.0,30683.7800000000,0.4413000000,69530.43281214593247224110582,-0.4116948245317675695678745608,0,0.001131733816206428248076052512
1681448133.0,30692.3700000000,0.4414000000,69534.14136837335749886724060,-0.4104834431760684108133272351,0,0.0009053870529651425984608420100
1681448134.0,30692.5000000000,0.4414000000,69534.43588581785228817399184,-0.4092514815461037630576295004,0,0.0009053870529651425984608420100
